"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
0,1,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0
1,1,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.34,0,0,0,0,0,0,3.83,2.09,1.04,0,0.34,0
0,1,0,0,0.43,0,0,0,0,0,0,2.19,0,0,0,0,0
1,0,0,0.47,0,0,0,0,0.47,0,0.95,1.9,0,1.42,0,0,0
1,1,1.25,0,1.25,0,0,0,0,0,0,6.25,0,0,0,0,0
0,1,0,0,0,0.97,0,0,0,0,0,4.85,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1.95,0,0.21,0,0,0
1,1,0,0,1.29,0,0,0,1.29,0.64,0,1.93,0,2.58,0,0.64,0
0,0,0,0,0,0.8,0,0,0,0,0,2.4,0,0.8,0,0,0
0,0,0.83,0.27,0.55,0,0,0,0,1.39,0.55,1.67,1.95,3.07,0,0,0
0,1,1,0,1,0,0,0,0,0,0,3.01,0,0,1.5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.64,0,3.23,0,0,0,0,0,0,0.32,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1.35,0,0,0,0.67,0,0,4.05,0,2.02,0,0,0
1,1,0,0,0,0,0,0,3.03,0,3.03,3.03,0,3.03,0,0,0
0,1,1.32,0,0,0,0.33,0,0,0.33,0,1.32,0,0.33,0,0,0
0,1,0,0,0.16,0,0.05,0,0,0,0.05,0.22,0,0.16,0,0,0
0,1,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0
0,1,0,0,0.37,0,0,0,0,0,0,0.49,0,0.24,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.2,0.15,0.61,0,0,0,0.1,0.05,0,0.71,0.05,0.46,0,0.05,0
0,1,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.75,0,0,0,0,0,0,3.5,0,3.5,0,0,0
0,1,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
0,1,2.88,0,0.88,0.22,0,1.1,0.44,0,0.44,3.32,0,3.32,0,0.44,0.44
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.09,0.01,0,0,0.01,0.01,0.01,0.07,0.01,0.05,0,0,0
0,1,0,0,0.27,0,1.36,0,0,0.27,0,0.81,0,0.54,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.09,0,0.73,0.09,0,0,0,0.55,0,0.09,0,0,0,0.36,0.09
0,1,0.78,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0
1,1,0.08,0.08,0.86,0,0,0,0.08,0,0.25,4.66,0,1.2,0,0,0.08
0,1,0,0,1.17,0,0,0,0,1.17,0,3.52,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0
0,1,0.37,0.1,0.64,0.61,0.34,0.2,0.51,0.34,0.34,2.75,0.13,1.36,0,0.27,0.71
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.06,0,0,2.12,0,0.53,0.53,2.65,0,2.65,0,1.59,0
0,1,0,0,0,0.82,0.16,0,0,0,0,0.33,0,0,0,0,0
0,1,0.31,0.25,1.52,0.31,0.38,0,0.38,0.44,0.06,2.98,0.69,1.26,0,0.44,0.76
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1.22,0,0,0,0,0,0,0,0.61,1.84,0,0,0,0,0
0,1,0.08,0.08,0.86,0,0,0,0.08,0,0.25,4.66,0,1.2,0,0,0.08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,1,0,0,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0.71,0,0,0,0,0,0,0.71,0,0.35,0,0,0
0,1,0.08,0.17,0.59,0.17,0,2.21,0.25,0.08,0.93,1.61,0.17,0.42,0,0.85,0.08
0,1,0,0.68,0.68,0,0,0,0,0,0,3.4,0,1.36,0,0.68,0.68
1,1,0,0.27,1.93,0.13,0,0,0,0,0.27,1.65,0,0.13,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,3,2,0,4,0,1,1
1,1,0,0,0.1,0,0,0,0,0,0.03,0.14,0,0.1,0,0,0
0,1,0,0,0.91,0.91,0,0,0,0,0,5.5,0,0.91,0,0,1.83
